DateTime,modulo100,mean wave period,combined height
2019-01-01 00:00:00,6.84641986221181,9.154532284425427,1.5966858639065948
2019-01-01 01:00:00,6.8976674955956705,9.166753515938824,1.5971332882604419
2019-01-01 02:00:00,7.026363519281344,9.171176437819863,1.5984755613219834
2019-01-01 03:00:00,7.081627028981652,9.164658447679384,1.6026701646393002
2019-01-01 04:00:00,6.924971250863273,9.239615334294887,1.631137539152824
2019-01-01 05:00:00,6.842118728769541,9.229838349084169,1.6174351683162556
2019-01-01 06:00:00,6.848904562999583,9.254862775516363,1.6189452255104897
2019-01-01 07:00:00,6.94768281292289,9.280119987310718,1.6205112107489545
2019-01-01 08:00:00,6.993970997615364,9.31026569171043,1.6214619875008798
2019-01-01 09:00:00,6.750656309915817,9.349606417915462,1.62084677901434
2019-01-01 10:00:00,6.524623955726368,9.397792987882571,1.6179385207143335
2019-01-01 11:00:00,6.32497369820473,9.448889374876678,1.614135413706633
2019-01-01 12:00:00,6.170639161409342,9.496959552162707,1.609493386035469
2019-01-01 13:00:00,6.14203534171782,9.541188770973097,1.604292077921996
2019-01-01 14:00:00,6.251586851394774,9.563652558421532,1.6001534026489102
2019-01-01 15:00:00,6.183199717153535,9.57051972660525,1.5969095760835184
2019-01-01 16:00:00,6.267170293424743,9.562605024291813,1.594001317783512
2019-01-01 17:00:00,6.347491235027907,9.5266396858381,1.5891915059796553
2019-01-01 18:00:00,6.410514233740634,9.495446447308668,1.5894711462008098
2019-01-01 19:00:00,6.427818964887739,9.460063072260356,1.5888559377142701
2019-01-01 20:00:00,6.496820369543931,9.417346958304005,1.5885762974931157
2019-01-01 21:00:00,6.429334500816984,9.374398058985495,1.5876255207411905
2019-01-01 22:00:00,6.311319598219664,9.35496048124514,1.5833190613354118
2019-01-01 23:00:00,6.2186270240248405,9.339480254661504,1.579012601929633
2019-01-02 00:00:00,6.013108080061607,9.327491808510267,1.5742587181700074
2019-01-02 01:00:00,5.459581613660399,9.343321213137143,1.565701727402681
2019-01-02 02:00:00,5.131744323188847,9.379286551590855,1.5549635429103499
2019-01-02 03:00:00,4.979038454024356,9.347162171612782,1.5237556942295125
2019-01-02 04:00:00,4.925409898104875,9.383011117385413,1.5150309193294933
2019-01-02 05:00:00,4.850821814898531,9.426192802066083,1.508039913800632
2019-01-02 06:00:00,4.721581056081388,9.460412250303596,1.5012726204486941
2019-01-02 07:00:00,4.514360840193651,9.489626813254668,1.494673111229449
2019-01-02 08:00:00,4.708753110762244,9.511392244616625,1.488968450717898
2019-01-02 09:00:00,4.74735483475567,9.526756078519181,1.4842145669582723
2019-01-02 10:00:00,4.075501638443908,9.56691155349177,1.4771676333851798
2019-01-02 11:00:00,3.9737201807787317,9.590888445794246,1.4718544691832451
2019-01-02 12:00:00,3.8641219629991603,9.612537484475121,1.4670446573793885
2019-01-02 13:00:00,3.8310211416767705,9.632557025620876,1.4625144857966863
2019-01-02 14:00:00,3.928964217168874,9.645825791263993,1.458543594656293
2019-01-02 15:00:00,3.6067392426615985,9.66037487639899,1.4547404876485923
2019-01-02 16:00:00,3.271022725218772,9.44795823342804,1.3865642017311357
2019-01-02 17:00:00,3.331458487493211,9.484621927968231,1.3846626482272855
2019-01-02 18:00:00,3.6301672727397003,9.516280737221983,1.3826492386349734
2019-01-02 19:00:00,3.9993533561068886,9.540257629524458,1.3810273253522776
2019-01-02 20:00:00,4.595627483798108,9.551547719589214,1.3798528364234288
2019-01-02 21:00:00,4.781524529247661,9.555505070745934,1.3790139157599655
2019-01-02 22:00:00,5.221409674507055,9.554923107340533,1.3778953548753476
2019-01-02 23:00:00,5.207030439991896,9.545844478216296,1.3770005061676533
2019-01-03 00:00:00,4.844089795161598,9.546775619664936,1.374539672221494
2019-01-03 01:00:00,4.095170493995229,9.57168365341605,1.3693942921522522
2019-01-03 02:00:00,3.756229132469334,9.641868440107274,1.3739244637349544
2019-01-03 03:00:00,3.8761773543450504,9.669569898204307,1.3654234010118589
2019-01-03 04:00:00,3.714859054361629,9.69424514659326,1.3572019785099176
2019-01-03 05:00:00,3.313342705942932,9.717756468171416,1.348924627963746
2019-01-03 06:00:00,3.131276485177137,9.739172721490132,1.3408709895944975
2019-01-03 07:00:00,3.528862748804043,9.756398838289966,1.33287327926948
2019-01-03 08:00:00,3.918397037248324,9.768387284441204,1.3255467054752332
2019-01-03 09:00:00,3.872175186572944,9.78084130131676,1.3181642036367556
2019-01-03 10:00:00,3.3459073098242627,9.800511664419277,1.310725773754047
2019-01-03 11:00:00,3.3546300069554285,9.810637827673235,1.3037347682251856
2019-01-03 12:00:00,3.1090064581629417,9.824604949402831,1.2965200505194006
2019-01-03 13:00:00,3.0201937304607327,9.840783532072948,1.2894731169463083
2019-01-03 14:00:00,2.784250882572837,9.855099831845784,1.282929535771294
2019-01-03 15:00:00,2.8819716687814574,9.863945675607862,1.2771130191712812
2019-01-03 16:00:00,3.0848661489280604,9.866157136548381,1.2716879988808847
2019-01-03 17:00:00,3.6359605849850984,9.875817729078019,1.2661511225020265
2019-01-03 18:00:00,3.9853949810318907,9.885711106969817,1.2610057424327845
2019-01-03 19:00:00,4.201318648200398,9.892927453196775,1.2562518586731588
2019-01-03 20:00:00,4.324856232486644,9.902704438407493,1.2518335431789183
2019-01-03 21:00:00,4.3910580093065645,9.90957160659121,1.2476948679058324
2019-01-03 22:00:00,3.8791434223220973,9.95868931800696,1.2404242221558164
2019-01-03 23:00:00,3.7148280713849315,9.994538263779592,1.2347195616442654
2019-01-04 00:00:00,3.692683575185254,10.027360999844143,1.2297978937519471
